Classes: 0 - above 24 ppm	1 - in between	2 - under 2.4 ppm	
Correct Predictions: 30/30
Class 0 - Predicted: 10/10
Class 1 - Predicted: 10/10
Class 2 - Predicted: 10/10
Confident predictions (confidence over 90%): 28
Predictions with confidence under 50%: 0
Class	Prediction	Confidence
  2  	    2     	  1.000   
  1  	    1     	  0.828   
  1  	    1     	  0.976   
  0  	    0     	  1.000   
  0  	    0     	  1.000   
  1  	    1     	  1.000   
  1  	    1     	  1.000   
  0  	    0     	  1.000   
  0  	    0     	  1.000   
  2  	    2     	  1.000   
  2  	    2     	  1.000   
  1  	    1     	  0.997   
  2  	    2     	  0.999   
  0  	    0     	  1.000   
  0  	    0     	  1.000   
  2  	    2     	  1.000   
  1  	    1     	  0.973   
  2  	    2     	  1.000   
  1  	    1     	  0.998   
  0  	    0     	  1.000   
  2  	    2     	  1.000   
  0  	    0     	  1.000   
  1  	    1     	  0.718   
  2  	    2     	  1.000   
  2  	    2     	  1.000   
  2  	    2     	  1.000   
  0  	    0     	  1.000   
  1  	    1     	  1.000   
  1  	    1     	  0.999   
  0  	    0     	  1.000   
